player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,sd,md,war,ra9war
7308,2024,0,0,0,10,1,120,532,0,156,74,600,0,67,92,89,0,0,0,2,18,18,5,8,0,0,0,0,0,0,21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,362,0,0,-0.9700,-1.3986
7310,2024,0,0,0,10,1,113,479,0,137,68,539,0,59,75,71,0,0,0,3,17,17,5,7,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,342,0,0,0.2569,-0.3237
7312,2024,0,0,0,10,1,130,551,0,158,49,588,0,35,65,64,0,0,0,1,20,20,7,7,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,391,0,0,1.4950,1.6049
7313,2024,0,0,0,11,1,117,476,0,85,170,507,0,28,20,19,0,0,0,2,16,16,10,1,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,353,0,0,6.2995,6.3547
7314,2024,0,0,0,11,1,94,379,0,76,92,394,0,13,18,16,0,0,0,2,12,12,7,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,284,0,0,4.3596,4.8730
7317,2024,0,0,0,10,1,27,106,0,23,33,116,0,9,8,7,0,0,0,1,18,0,2,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,82,0,0,0.7262,0.6630
7322,2024,0,0,0,10,1,127,491,0,106,156,522,0,29,36,32,0,0,0,1,19,19,11,3,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,382,0,0,4.9001,4.7632
7325,2024,0,0,0,10,1,127,498,0,104,163,566,0,68,51,47,0,0,0,1,19,19,9,4,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,382,0,0,2.7183,2.9267
7326,2024,0,0,0,11,1,70,285,0,46,124,332,0,46,19,18,0,0,0,1,16,9,5,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,211,0,0,2.5625,2.5587
7327,2024,0,0,0,10,1,108,430,0,110,105,471,0,39,47,46,0,0,0,3,16,16,7,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,327,0,0,2.1743,2.1292
7329,2024,0,0,0,11,1,104,406,0,62,159,431,0,24,13,11,0,0,0,2,14,14,10,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,314,0,0,6.2405,6.4477
7330,2024,0,0,0,10,1,74,318,0,86,33,375,0,55,53,49,0,0,0,1,13,11,2,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,223,0,0,-0.6397,-0.6190
7332,2024,0,0,0,10,1,74,292,0,67,90,317,0,22,25,23,0,0,0,3,13,11,6,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,225,0,0,2.5101,2.2714
7334,2024,0,0,0,10,1,46,199,0,55,15,232,0,32,35,31,0,0,0,1,25,2,1,2,19,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,139,0,0,-0.8108,-0.9790
7335,2024,0,0,0,10,1,124,486,0,113,133,531,0,43,45,42,0,0,0,1,18,18,9,5,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,373,0,0,3.4918,3.4230
7336,2024,0,0,0,10,1,47,182,0,40,58,197,0,14,17,13,0,0,0,1,23,3,3,1,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,142,0,0,1.2895,0.9621
