team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
56,2024,201,2,1,354,88,408,167,108,60,9,36,66,61,103,92,1504,0,10,10,4,6,4,78,15,5,7,1,14,1,0,0,1,6,10,4,3,4,0,25,0,1,15,5,2,15.3409,0.3051,0.3722,0.4718,0.8440,11.0455,6.1364,1.4318,3.6818,0.0000,0.0000,0.3000,0.4000,0.9000,1.0000,0.0000,0.4000,6.2386,125.3333,0.0000,1.6364,0.5282,1.6667,0.3275
57,2024,201,2,1,365,95,403,146,92,76,27,32,37,37,97,101,1517,1,10,10,9,1,6,62,17,1,1,2,11,0,0,1,4,4,10,10,3,7,1,30,0,2,13,2,7,12.0839,0.2521,0.3184,0.4000,0.7184,8.6853,7.1748,1.0385,3.0210,0.0000,0.0000,0.3000,0.9000,2.7000,0.8571,0.1429,0.3333,3.4930,108.3571,0.0000,1.3007,0.4899,2.3750,0.2903
58,2024,201,2,1,300,78,335,126,74,57,26,30,35,34,91,77,1245,0,9,9,3,6,1,44,19,3,0,0,11,0,0,0,0,2,9,7,6,2,1,16,0,0,7,1,1,12.2308,0.2467,0.3193,0.4200,0.7393,8.5385,6.5769,1.2692,3.4615,0.0000,0.0000,0.6667,0.3333,2.8889,0.5000,0.5000,0.5625,3.9231,124.5000,0.0000,1.3333,0.5417,1.9000,0.2716
59,2024,201,2,1,334,93,364,110,68,78,40,23,28,25,91,101,1350,1,10,10,7,3,3,46,11,2,4,2,9,0,0,0,1,1,10,9,5,4,1,26,0,2,9,2,4,8.8714,0.2036,0.2541,0.3293,0.5835,6.5571,7.5214,0.8679,2.2179,0.0000,0.0000,0.5000,0.7000,4.0000,0.7500,0.2500,0.3846,2.4107,112.5000,0.0000,0.9750,0.4740,3.3913,0.2351
60,2024,201,2,1,324,81,360,154,90,68,35,29,43,41,80,88,1345,0,9,9,5,4,2,55,20,0,4,1,14,0,0,3,2,3,9,7,5,2,0,23,0,1,4,0,4,13.5556,0.2778,0.3389,0.4753,0.8142,10.0000,7.5556,1.5556,3.2222,0.0000,0.0000,0.5556,0.5556,3.8889,1.0000,0.0000,0.3913,4.5556,112.0833,0.0000,1.4691,0.4762,2.3448,0.3089
61,2024,202,3,1,197,54,215,56,44,50,23,16,7,7,45,58,783,0,6,6,6,0,5,36,6,0,1,0,2,0,0,0,0,1,6,6,5,6,0,9,0,1,9,2,2,10.1667,0.2234,0.2837,0.2843,0.5680,7.3333,8.3333,0.3333,2.6667,0.0000,0.0000,0.8333,1.0000,3.8333,1.0000,0.0000,0.6667,1.1667,111.8571,0.0000,1.1111,0.4369,3.1250,0.2877
62,2024,202,3,1,217,53,248,86,60,50,9,26,31,26,46,60,937,0,6,6,2,4,1,48,5,1,2,0,7,0,0,1,3,2,6,2,2,1,0,16,0,0,7,2,1,14.9434,0.2765,0.3563,0.3963,0.7526,10.1887,8.4906,1.1887,4.4151,0.0000,0.0000,0.3333,0.3333,1.5000,1.0000,0.0000,0.3750,4.4151,93.7000,0.0000,1.6226,0.4340,1.9231,0.3272
63,2024,202,3,1,200,52,226,90,52,46,33,23,31,25,54,45,823,0,6,6,3,3,1,35,6,0,0,1,10,0,0,0,3,3,6,8,2,2,1,13,0,0,2,3,1,13.5000,0.2600,0.3451,0.4500,0.7951,9.0000,7.9615,1.7308,3.9808,0.0000,0.0000,0.3333,0.5000,5.5000,0.5000,0.5000,0.4615,4.3269,91.4444,0.0000,1.4423,0.5455,2.0000,0.2917
64,2024,202,3,1,244,63,281,99,67,55,18,33,35,34,58,65,1031,0,6,6,4,2,3,51,8,1,2,0,8,0,0,1,2,1,6,9,1,4,1,22,0,0,7,1,4,14.4286,0.2746,0.3607,0.4057,0.7665,9.5714,7.8571,1.1429,4.7143,0.0000,0.0000,0.1667,0.6667,3.0000,0.7500,0.2500,0.2727,4.8571,79.3077,0.0000,1.5873,0.4715,1.6667,0.3224
65,2024,202,3,1,201,51,222,88,51,45,9,15,29,28,45,58,818,0,6,6,1,5,0,33,8,0,1,1,9,0,0,0,3,5,6,3,1,0,0,11,0,0,2,1,1,12.5294,0.2537,0.3198,0.4378,0.7576,9.0000,7.9412,1.5882,2.6471,0.0000,0.0000,0.1667,0.1667,1.5000,0.0000,0.0000,0.5455,4.9412,102.2500,0.0000,1.2941,0.4369,3.0000,0.2838
