team_id,year,league_id,level_id,split_id,pa,ab,h,k,tb,s,d,t,hr,sb,cs,rbi,r,bb,ibb,hp,sh,sf,ci,gdp,g,gs,ebh,pitches_seen,avg,obp,slg,rc,rc27,iso,woba,ops,sbp
69,2024,202,3,0,226,204,58,42,86,41,11,1,5,8,1,30,33,17,1,4,1,1,0,7,6,54,17,0,0.2843,0.3496,0.4216,30.1515,5.2185,0.1373,0.0000,0.7711,88.8889
70,2024,202,3,0,224,210,51,50,75,41,3,0,7,7,1,19,20,10,0,4,0,0,0,7,6,54,10,0,0.2429,0.2902,0.3571,20.9373,3.3851,0.1143,0.0000,0.6473,87.5000
71,2024,202,3,0,209,187,43,44,58,34,6,0,3,7,4,9,10,19,1,2,0,1,0,7,6,54,9,0,0.2299,0.3062,0.3102,17.0817,2.9565,0.0802,0.0000,0.6164,63.6364
72,2024,202,3,0,145,133,33,20,49,20,11,1,1,5,1,15,15,11,0,1,0,0,0,2,4,36,13,0,0.2481,0.3103,0.3684,15.8499,4.1548,0.1203,0.0000,0.6788,83.3333
73,2024,202,3,0,228,198,56,30,97,37,8,0,11,1,3,34,34,27,0,3,0,0,0,8,6,54,19,0,0.2828,0.3772,0.4899,34.6447,6.1138,0.2071,0.0000,0.8671,25.0000
74,2024,202,3,0,244,218,38,58,47,31,6,0,1,2,2,10,10,22,1,2,1,2,0,6,6,54,7,0,0.1743,0.2541,0.2156,12.2503,1.7317,0.0413,0.0000,0.4697,50.0000
75,2024,202,3,0,216,195,46,48,78,32,5,0,9,2,1,23,24,16,0,4,1,1,0,2,6,54,14,0,0.2359,0.3056,0.4000,24.7587,4.3408,0.1641,0.0000,0.7056,66.6667
76,2024,202,3,0,91,74,26,8,32,22,3,0,1,4,0,14,14,13,0,2,2,2,0,3,2,18,4,0,0.3514,0.4505,0.4324,16.3686,8.0355,0.0811,0.0000,0.8830,100.0000
77,2024,202,3,0,240,208,49,40,97,27,9,0,13,1,2,39,40,26,1,5,2,1,0,3,6,54,22,0,0.2356,0.3333,0.4663,33.1240,5.3554,0.2308,0.0000,0.7997,33.3333
78,2024,202,3,0,241,208,51,45,68,41,6,1,3,4,0,18,19,22,0,7,3,4,0,2,6,54,10,0,0.2452,0.3320,0.3269,25.9766,4.2251,0.0817,0.0000,0.6589,100.0000
79,2024,202,3,0,214,193,38,47,60,28,4,0,6,1,0,20,20,19,0,1,3,1,0,5,6,54,10,0,0.1969,0.2710,0.3109,16.5594,2.7263,0.1140,0.0000,0.5819,100.0000
80,2024,202,3,0,239,213,57,48,110,30,13,2,12,6,4,25,26,22,0,1,1,3,0,3,6,54,27,0,0.2676,0.3347,0.5164,36.8589,5.9592,0.2488,0.0000,0.8512,60.0000
81,2024,202,3,0,258,235,58,65,87,40,12,1,5,11,3,22,24,19,1,4,0,0,0,6,6,54,18,0,0.2468,0.3140,0.3702,27.4716,3.9878,0.1234,0.0000,0.6842,78.5714
82,2024,202,3,0,267,234,71,49,125,39,21,0,11,4,2,41,43,27,1,3,0,3,0,5,6,54,32,0,0.3034,0.3783,0.5342,47.9435,7.4825,0.2308,0.0000,0.9125,66.6667
83,2024,202,3,0,236,203,58,44,96,33,17,3,5,11,0,32,34,20,0,8,0,5,0,3,6,54,25,0,0.2857,0.3644,0.4729,39.2492,6.9263,0.1872,0.0000,0.8373,100.0000
84,2024,202,3,0,252,228,55,58,76,41,10,1,3,4,0,17,18,23,2,0,2,1,0,4,6,54,14,0,0.2412,0.3095,0.3333,24.7929,3.7189,0.0921,0.0000,0.6429,100.0000
85,2024,202,3,0,164,148,33,38,59,19,8,0,6,5,2,21,22,13,0,2,2,1,0,1,4,36,14,0,0.2230,0.2927,0.3986,18.1789,4.0565,0.1757,0.0000,0.6913,71.4286
86,2024,202,3,0,209,184,42,34,65,28,9,1,4,0,2,25,27,21,0,4,1,0,0,7,6,54,14,0,0.2283,0.3206,0.3533,19.8912,3.5333,0.1250,0.0000,0.6738,0.0000
87,2024,202,3,0,244,219,64,44,97,47,9,0,8,14,2,32,33,20,0,2,0,3,0,2,6,54,17,0,0.2922,0.3525,0.4429,37.4915,6.2486,0.1507,0.0000,0.7954,87.5000
88,2024,202,3,0,220,203,46,43,84,28,8,0,10,8,1,21,21,15,1,0,3,2,0,4,6,54,18,0,0.2266,0.2773,0.4138,23.7058,3.8327,0.1872,0.0000,0.6911,88.8889
89,2024,202,3,0,220,199,41,51,68,27,7,1,6,3,2,17,17,17,1,3,0,1,0,2,6,54,14,0,0.2060,0.2773,0.3417,19.4370,3.2196,0.1357,0.0000,0.6190,60.0000
90,2024,202,3,0,244,214,52,53,87,30,15,1,6,4,2,25,25,24,0,4,0,2,0,0,6,54,22,0,0.2430,0.3279,0.4065,31.1361,5.0643,0.1636,0.0000,0.7344,66.6667
91,2024,203,4,0,151,132,23,42,47,13,3,0,7,1,1,9,9,16,0,3,0,0,0,2,4,36,10,0,0.1742,0.2781,0.3561,13.5493,3.2663,0.1818,0.0000,0.6342,50.0000
92,2024,203,4,0,243,221,59,53,80,46,9,0,4,2,2,16,16,20,1,0,3,2,0,2,6,54,13,0,0.2670,0.3251,0.3620,27.0061,4.2641,0.0950,0.0000,0.6871,50.0000
93,2024,203,4,0,231,203,56,33,92,33,16,1,6,6,3,26,27,25,0,2,0,1,0,6,6,54,23,0,0.2759,0.3593,0.4532,32.8868,5.6557,0.1773,0.0000,0.8125,66.6667
94,2024,203,4,0,225,211,57,52,94,38,10,0,9,2,2,16,16,10,0,3,0,1,0,6,6,54,19,0,0.2701,0.3111,0.4455,27.2635,4.5160,0.1754,0.0000,0.7566,50.0000
95,2024,203,4,0,227,199,52,42,69,39,11,0,2,4,1,20,23,22,0,5,1,1,0,10,6,54,13,0,0.2613,0.3480,0.3467,23.6032,3.9830,0.0854,0.0000,0.6948,80.0000
96,2024,203,4,0,223,205,46,59,84,27,9,1,9,6,0,18,18,15,1,2,1,1,0,2,6,54,19,0,0.2244,0.2825,0.4098,25.1407,4.1644,0.1854,0.0000,0.6923,100.0000
97,2024,203,4,0,226,198,50,43,84,34,6,2,8,6,1,31,34,24,0,3,1,1,0,3,6,54,16,0,0.2525,0.3407,0.4242,30.6085,5.3664,0.1717,0.0000,0.7650,85.7143
98,2024,203,4,0,243,216,48,53,79,28,14,1,5,4,0,17,19,24,1,3,1,0,0,4,6,54,20,0,0.2222,0.3086,0.3657,25.7113,4.0127,0.1435,0.0000,0.6744,100.0000
99,2024,203,4,0,231,201,49,51,88,26,15,0,8,3,0,28,28,27,0,1,1,2,0,2,6,54,23,0,0.2438,0.3333,0.4378,31.8103,5.4706,0.1940,0.0000,0.7711,100.0000
100,2024,203,4,0,225,194,40,37,64,25,10,1,4,3,1,24,24,24,1,5,1,2,0,4,6,54,15,0,0.2062,0.3067,0.3299,21.0690,3.5115,0.1237,0.0000,0.6366,75.0000
101,2024,203,4,0,73,67,17,16,25,13,2,0,2,1,1,6,6,4,0,0,0,2,0,2,2,18,4,0,0.2537,0.2877,0.3731,6.8055,3.3409,0.1194,0.0000,0.6608,50.0000
102,2024,203,4,0,232,203,54,48,113,26,12,1,15,3,0,30,31,24,0,2,2,3,0,4,6,54,28,0,0.2660,0.3448,0.5567,40.2475,6.8777,0.2906,0.0000,0.9015,100.0000
103,2024,203,4,0,208,184,35,52,57,24,4,3,4,2,0,10,11,20,0,3,2,1,0,5,6,54,11,0,0.1902,0.2788,0.3098,16.5511,2.8464,0.1196,0.0000,0.5886,100.0000
104,2024,203,4,0,243,220,61,44,102,38,14,0,9,4,1,31,31,17,0,5,0,1,0,1,6,54,23,0,0.2773,0.3416,0.4636,36.7733,6.1289,0.1864,0.0000,0.8052,80.0000
105,2024,203,4,0,240,202,49,39,75,33,10,2,4,3,0,27,28,36,4,2,0,0,0,5,6,54,16,0,0.2426,0.3625,0.3713,29.1783,4.9862,0.1287,0.0000,0.7338,100.0000
106,2024,203,4,0,226,206,55,39,95,37,7,0,11,4,1,25,27,17,2,1,0,2,0,6,6,54,18,0,0.2670,0.3230,0.4612,29.8694,5.0405,0.1942,0.0000,0.7842,80.0000
107,2024,203,4,0,239,201,52,42,81,35,11,0,6,6,1,32,35,29,0,8,1,1,0,3,6,54,17,0,0.2587,0.3724,0.4030,33.5679,5.8473,0.1443,0.0000,0.7754,85.7143
108,2024,203,4,0,222,196,48,48,85,28,10,3,7,5,3,23,23,21,1,3,1,2,0,3,6,54,20,0,0.2449,0.3243,0.4337,28.1580,4.8425,0.1888,0.0000,0.7580,62.5000
109,2024,203,4,0,260,224,63,57,106,37,17,1,8,6,2,34,36,30,0,5,0,1,0,1,6,54,26,0,0.2812,0.3769,0.4732,43.3858,7.0995,0.1920,0.0000,0.8501,75.0000
110,2024,203,4,0,229,207,56,51,93,35,12,2,7,2,1,18,18,19,0,2,1,1,0,8,6,54,21,0,0.2705,0.3362,0.4493,29.7249,4.9541,0.1787,0.0000,0.7855,66.6667
111,2024,203,4,0,73,67,15,10,18,12,3,0,0,1,0,2,2,6,0,0,1,0,0,2,2,18,3,0,0.2239,0.2877,0.2687,5.2892,2.5965,0.0448,0.0000,0.5563,100.0000
112,2024,203,4,0,248,221,55,55,101,33,10,0,12,3,1,27,29,24,3,2,1,1,0,6,6,54,22,0,0.2489,0.3266,0.4570,32.5659,5.0245,0.2081,0.0000,0.7836,75.0000
113,2024,203,4,0,256,227,68,42,123,41,13,0,14,3,2,38,38,22,0,5,1,2,0,2,6,54,27,0,0.2996,0.3711,0.5419,47.1430,7.6678,0.2423,0.0000,0.9129,60.0000
114,2024,203,4,0,228,211,51,38,75,37,9,0,5,2,1,18,19,14,0,0,3,3,0,5,6,54,14,0,0.2417,0.2851,0.3555,21.1481,3.3198,0.1137,0.0000,0.6405,66.6667
115,2024,203,4,0,224,202,41,37,62,31,4,1,5,4,1,21,21,17,0,5,0,0,0,10,6,54,10,0,0.2030,0.2812,0.3069,16.2036,2.5436,0.1040,0.0000,0.5882,80.0000
116,2024,203,4,0,226,198,49,46,85,31,9,0,9,3,2,24,26,26,0,1,4,1,0,5,6,54,18,0,0.2475,0.3363,0.4293,28.8540,4.8389,0.1818,0.0000,0.7656,60.0000
117,2024,203,4,0,236,200,51,46,87,28,16,1,6,1,1,34,36,32,0,1,0,3,0,3,6,54,23,0,0.2550,0.3559,0.4350,33.1051,5.7297,0.1800,0.0000,0.7909,50.0000
118,2024,203,4,0,247,218,67,40,94,49,13,1,4,1,1,27,30,24,2,5,4,0,0,5,6,54,18,0,0.3073,0.3887,0.4312,37.1546,6.2309,0.1239,0.0000,0.8199,50.0000
119,2024,203,4,0,234,214,58,34,79,46,7,1,4,2,0,23,25,16,0,2,3,2,0,3,6,54,12,0,0.2710,0.3248,0.3692,26.8960,4.4280,0.0981,0.0000,0.6939,100.0000
120,2024,203,4,0,167,153,40,43,59,27,10,0,3,5,1,11,11,12,1,1,1,1,0,2,4,36,13,0,0.2614,0.3174,0.3856,19.5714,4.4782,0.1242,0.0000,0.7030,83.3333
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
