player_id,year,team_id,league_id,level_id,split_id,position,tc,a,po,er,ip,g,gs,e,dp,tp,pb,sba,rto,ipf,plays,plays_base,roe,opps_0,opps_made_0,opps_1,opps_made_1,opps_2,opps_made_2,opps_3,opps_made_3,opps_4,opps_made_4,opps_5,opps_made_5,framing,arm,zr
1195,2024,22,200,1,0,9,21,0,19,0,118,14,14,2,0,0,0,0,0,1,19,19,1,14,13,1,1,3,3,5,1,8,1,8,0,0.0000,0.9516,-1.6439
1196,2024,22,200,1,0,3,11,3,8,0,8,1,1,0,0,0,0,0,0,0,3,3,0,3,3,0,0,1,0,0,0,0,0,0,0,0.0000,0.0000,-0.1354
1196,2024,22,200,1,0,5,6,4,2,0,26,3,3,0,0,0,0,0,0,0,5,5,0,3,3,1,1,0,0,1,0,2,2,0,0,0.0000,0.0000,0.4699
1197,2024,50,201,2,0,3,17,0,17,0,14,3,1,0,1,0,0,0,0,0,1,1,0,3,3,0,0,1,0,0,0,0,0,0,0,0.0000,0.0000,-0.1341
1197,2024,50,201,2,0,9,4,0,4,0,21,3,3,0,0,0,0,0,0,0,4,5,0,4,4,0,0,0,0,0,0,1,0,0,0,0.0000,0.3105,-0.4036
1199,2024,22,200,1,0,7,10,0,10,0,40,5,5,0,0,0,0,0,0,1,9,9,0,6,6,1,1,2,2,0,0,1,1,5,0,0.0000,0.6062,0.5599
1199,2024,22,200,1,0,9,4,0,4,0,18,4,2,0,0,0,0,0,0,0,4,4,0,4,4,0,0,0,0,0,0,1,0,4,0,0.0000,0.0324,-0.1662
1200,2024,22,200,1,0,3,17,1,16,0,18,3,2,0,2,0,0,0,0,0,2,2,0,3,3,0,0,0,0,0,0,1,0,0,0,0.0000,0.0000,-0.0157
1200,2024,22,200,1,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000
1201,2024,22,200,1,0,7,17,1,16,0,93,11,11,0,0,0,0,0,0,0,16,16,0,12,12,1,1,2,2,1,0,4,1,9,0,0.0000,-0.4303,0.0674
1201,2024,22,200,1,0,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.0000
1202,2024,50,201,2,0,7,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0000,0.0066,-0.2218
1202,2024,50,201,2,0,9,2,0,2,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0.0000,0.0237,0.8853
1203,2024,50,201,2,0,4,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0137
1204,2024,81,202,3,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0000,0.0417,-0.0718
1205,2024,81,202,3,0,2,15,1,14,4,12,2,1,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.0724
1207,2024,81,202,3,0,6,39,24,12,0,56,6,6,3,3,0,0,0,0,0,27,23,3,23,20,3,2,4,4,1,0,4,2,1,0,0.0000,0.0000,1.2743
1209,2024,50,201,2,0,2,21,4,17,7,18,2,2,0,0,0,0,3,1,0,2,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0.4050,0.0000,0.2589
1212,2024,81,202,3,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1350,0.0000,-0.0000
1213,2024,81,202,3,0,1,0,0,0,0,6,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1350,0.0000,0.3748
1218,2024,81,202,3,0,1,1,1,0,0,5,3,0,0,0,0,0,2,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.2117
1219,2024,81,202,3,0,1,0,0,0,0,2,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.2184
1221,2024,81,202,3,0,1,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1350,0.0000,-0.0000
1223,2024,55,201,2,0,1,1,0,0,0,10,3,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.1350,0.0000,-0.5515
1224,2024,78,202,3,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.1092
1226,2024,55,201,2,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.0000
1227,2024,78,202,3,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-0.0000,0.0000,-0.4946
1228,2024,17,200,1,0,1,5,3,2,0,28,5,5,0,1,0,0,2,0,1,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,-0.0000,0.0000,-0.1700
1229,2024,17,200,1,0,1,2,1,1,0,6,6,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.2700,0.0000,-0.0062
1230,2024,17,200,1,0,1,1,1,0,0,7,4,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.1350,0.0000,-0.0062
1232,2024,17,200,1,0,1,1,1,0,0,19,4,4,0,0,0,0,5,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.0000,0.0000,-0.0285
1233,2024,78,202,3,0,1,1,0,1,0,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.1350,0.0000,0.0649
1234,2024,111,203,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.0000
1235,2024,17,200,1,0,1,3,2,1,0,13,10,0,0,1,0,0,2,0,1,2,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0.1350,0.0000,-0.0657
1236,2024,24,200,1,0,2,84,1,83,68,115,13,13,0,0,0,0,9,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.1350,0.0000,-0.0066
